Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms), Processing Time (s)
yolov5n.pt,videos/2.jpg,12883,104.7,6413.987353000,5.92193603515625
yolov5n.pt,videos/30.jpg,18119,106.6,6317.354457000,5.910005569458008
yolov5n.pt,videos/3.jpg,10567,81.3,6395.774891000,5.978687524795532
yolov5n.pt,videos/4.jpg,12030,87.5,6322.913769000,5.882958650588989
yolov5n.pt,videos/5.jpg,14688,93.4,6160.579352000,5.762683868408203
yolov5n.pt,videos/6.jpg,13453,103.2,6322.840254000,5.896759748458862
yolov5n.pt,videos/7.jpg,15812,112.0,6305.712985000,5.8630311489105225
yolov5n.pt,videos/cars2.jpg,223654,106.2,6501.603534000,6.072573900222778
yolov5n.pt,videos/cars.jpg,238211,105.7,6547.647535000,6.032592535018921
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,96.4,6461.587876000,6.097383260726929
yolov5n.pt,videos/hd-bird.jpg,266489,89.5,6435.542848000,5.953919410705566
yolov5n.pt,videos/hd-car.jpg,282293,115.2,6496.030884000,6.083617448806763
yolov5n.pt,videos/hd-image.jpg,14667,92.5,6501.719382000,5.816638231277466
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,105.8,6227.043638000,5.965466260910034
yolov5n.pt,videos/10.jpg,9192,104.7,58478.856581000,5.888223171234131
yolov5n.pt,videos/12.jpg,11641,106.4,6319.196702000,5.88799262046814
yolov5n.pt,videos/13.jpg,9674,107.8,6116.429836000,5.846916913986206
yolov5n.pt,videos/17.jpg,14140,138.7,6147.295255000,5.913515090942383
yolov5n.pt,videos/18.jpg,8091,116.6,6373.940213000,5.952740430831909
yolov5n.pt,videos/19.jpg,9571,133.1,6367.705131000,5.878476858139038
yolov5n.pt,videos/1.jpg,11834,101.2,6177.896429000,5.849672079086304
yolov5n.pt,videos/29.jpg,12402,93.4,6313.805807000,5.959549903869629
yolov5n.pt,videos/2.jpg,12883,116.4,6444.302257000,6.044105768203735
yolov5n.pt,videos/30.jpg,18119,105.0,6263.485934000,5.845704793930054
yolov5n.pt,videos/3.jpg,10567,79.1,6093.328959000,5.743757963180542
yolov5n.pt,videos/4.jpg,12030,90.4,6161.984499000,5.8370959758758545
yolov5n.pt,videos/5.jpg,14688,87.8,6039.502224000,5.859725475311279
yolov5n.pt,videos/6.jpg,13453,169.8,6640.433353000,6.309009790420532
