Time,model,File Name,Propagation Delay (s),processing_delay (ms),E2E Delay (s),location,core,model_acc,ram
1716401141,yolov5s,6.jpg,0.448679447,1360.157013,1.836914539,london,half,56.8,500
1716401143,yolov5s,6.jpg,0.170095205,2115.055084,2.314023256,london,half,56.8,500
1716401145,yolov5s,6.jpg,0.426262379,1306.104898,1.756928921,london,half,56.8,500
1716401147,yolov5s,6.jpg,0.337873936,1875.757456,2.242200851,london,half,56.8,500
1716401149,yolov5s,6.jpg,0.212765694,1388.47971,1.626708508,london,half,56.8,500
1716401151,yolov5s,6.jpg,0.204779148,1990.720272,2.227227926,london,half,56.8,500
1716401152,yolov5s,6.jpg,0.203624487,1259.255648,1.501790524,london,half,56.8,500
1716401155,yolov5s,6.jpg,0.200492382,1945.74213,2.172587633,london,half,56.8,500
1716401156,yolov5s,6.jpg,0.184482574,1290.607214,1.505349159,london,half,56.8,500
1716401158,yolov5s,6.jpg,0.148697138,1997.03145,2.171260834,london,half,56.8,500
1716401160,yolov5s,6.jpg,0.517905712,1485.673189,2.034398317,london,half,56.8,500
1716401163,yolov5s,6.jpg,0.195319176,1965.179205,2.186728954,london,half,56.8,500
1716401164,yolov5s,6.jpg,0.184696913,1175.5867,1.392978907,london,half,56.8,500
1716401166,yolov5s,6.jpg,0.217176914,1911.738873,2.154355764,london,half,56.8,500
1716401168,yolov5s,6.jpg,0.272281408,1938.167572,2.23972106,london,half,56.8,500
1716401170,yolov5s,6.jpg,0.228685141,1385.266542,1.641670942,london,half,56.8,500
1716401172,yolov5s,6.jpg,0.204201698,1861.403465,2.094928026,london,half,56.8,500
1716401174,yolov5s,6.jpg,0.182310104,1240.52,1.45741272,london,half,56.8,500
1716401176,yolov5s,6.jpg,0.112317085,1874.165535,2.012868881,london,half,56.8,500
1716401177,yolov5s,6.jpg,0.254252911,1166.980743,1.453263044,london,half,56.8,500
1716401178,yolov5s,6.jpg,0.224596262,1200.76251,1.450778484,london,half,56.8,500
1716401181,yolov5s,6.jpg,0.183549643,1881.089687,2.094027281,london,half,56.8,500
1716401183,yolov5s,6.jpg,0.286391258,2078.343391,2.392025232,london,half,56.8,500
1716401185,yolov5s,6.jpg,0.300031424,1287.046909,1.615760326,london,half,56.8,500
1716401186,yolov5s,6.jpg,0.218573093,1259.468079,1.504300594,london,half,56.8,500
1716401189,yolov5s,6.jpg,0.452409267,2052.58131,2.534605742,london,half,56.8,500
1716401190,yolov5s,6.jpg,0.197856903,1421.464205,1.644565821,london,half,56.8,500
1716401192,yolov5s,6.jpg,0.160143137,1789.097786,1.976704359,london,half,56.8,500
1716401194,yolov5s,6.jpg,0.171480656,1396.610737,1.594045162,london,half,56.8,500
1716401196,yolov5s,6.jpg,0.264841557,1994.464397,2.283519506,london,half,56.8,500
1716401198,yolov5s,6.jpg,0.141022205,1406.248569,1.579007626,london,half,56.8,500
1716401200,yolov5s,6.jpg,0.165799141,1845.279932,2.035926342,london,half,56.8,500
1716401201,yolov5s,6.jpg,0.190657854,1310.790539,1.54292798,london,half,56.8,500
1716401203,yolov5s,6.jpg,0.218852997,1963.062286,2.20640707,london,half,56.8,500
1716401205,yolov5s,6.jpg,0.191764355,1240.401745,1.462260485,london,half,56.8,500
1716401207,yolov5s,6.jpg,0.2145679,1882.679939,2.123799086,london,half,56.8,500
1716401208,yolov5s,6.jpg,0.180319071,1176.433802,1.381426096,london,half,56.8,500
1716401211,yolov5s,6.jpg,0.214213848,1988.587856,2.229364634,london,half,56.8,500
1716401213,yolov5s,6.jpg,0.169513226,1775.219679,1.974740505,london,half,56.8,500
1716401214,yolov5s,6.jpg,0.211907625,1085.609913,1.324155092,london,half,56.8,500
1716401216,yolov5s,6.jpg,0.184507132,1848.918915,2.060206175,london,half,56.8,500
1716401218,yolov5s,6.jpg,0.177168131,1295.171499,1.499391794,london,half,56.8,500
1716401220,yolov5s,6.jpg,0.222034454,1902.28343,2.149812222,london,half,56.8,500
1716401221,yolov5s,6.jpg,0.268973827,1143.482447,1.446086407,london,half,56.8,500
1716401223,yolov5s,6.jpg,0.249927998,1396.85154,1.672377825,london,half,56.8,500
1716401225,yolov5s,6.jpg,0.190895319,1813.980818,2.036948919,london,half,56.8,500
1716401227,yolov5s,6.jpg,0.183117867,1886.690855,2.100269556,london,half,56.8,500
1716401228,yolov5s,6.jpg,0.218804359,1172.675848,1.427591324,london,half,56.8,500
1716401230,yolov5s,6.jpg,0.186719418,1249.861717,1.459558487,london,half,56.8,500
1716401232,yolov5s,6.jpg,0.194303513,1908.322811,2.130964518,london,half,56.8,500
1716401233,yolov5s,6.jpg,0.134672165,1246.292591,1.404386282,london,half,56.8,500
1716401236,yolov5s,6.jpg,0.5265522,1657.865047,2.212316275,london,half,56.8,500
1716401237,yolov5s,6.jpg,0.301646948,1143.20612,1.471313477,london,half,56.8,500
1716401239,yolov5s,6.jpg,0.275886536,1597.885609,1.902799606,london,half,56.8,500
1716401240,yolov5s,6.jpg,0.188642502,1272.331238,1.50835371,london,half,56.8,500
1716401243,yolov5s,6.jpg,0.395360708,1843.073606,2.264677286,london,half,56.8,500
1716401244,yolov5s,6.jpg,0.260701895,1197.385788,1.489408016,london,half,56.8,500
1716401246,yolov5s,6.jpg,0.154826641,1920.713186,2.10008359,london,half,56.8,500
1716401248,yolov5s,6.jpg,0.289865255,1106.680632,1.426479816,london,half,56.8,500
1716401250,yolov5s,6.jpg,0.188293695,1858.328819,2.070068836,london,half,56.8,500
1716401251,yolov5s,6.jpg,0.216935873,1296.084404,1.54363656,london,half,56.8,500
1716401254,yolov5s,6.jpg,0.261392117,1865.873575,2.151141167,london,half,56.8,500
1716401256,yolov5s,6.jpg,0.182762146,2024.298906,2.235477209,london,half,56.8,500
1716401257,yolov5s,6.jpg,0.256245136,1277.264357,1.560966015,london,half,56.8,500
1716401259,yolov5s,6.jpg,0.192344427,1908.111095,2.12816,london,half,56.8,500
1716401261,yolov5s,6.jpg,0.22494483,1365.329266,1.629443169,london,half,56.8,500
1716401263,yolov5s,6.jpg,0.162417412,1970.033646,2.161702394,london,half,56.8,500
1716401265,yolov5s,6.jpg,0.173574209,1376.889229,1.581175804,london,half,56.8,500
1716401266,yolov5s,6.jpg,0.159846306,1402.728081,1.587723255,london,half,56.8,500
1716401269,yolov5s,6.jpg,0.195332766,1922.229052,2.147666454,london,half,56.8,500
1716401271,yolov5s,6.jpg,0.126014471,1862.359524,2.015621901,london,half,56.8,500
1716401272,yolov5s,6.jpg,0.181763172,1242.63382,1.449555635,london,half,56.8,500
1716401274,yolov5s,6.jpg,0.181689501,1285.82263,1.492565393,london,half,56.8,500
1716401276,yolov5s,6.jpg,0.124804735,1894.355536,2.048903465,london,half,56.8,500
1716401277,yolov5s,6.jpg,0.216694117,1256.057739,1.500175953,london,half,56.8,500
1716401279,yolov5s,6.jpg,0.171877384,1949.847937,2.147501945,london,half,56.8,500
1716401281,yolov5s,6.jpg,0.275140047,1411.53574,1.705908537,london,half,56.8,500
1716401283,yolov5s,6.jpg,0.185256004,1825.4776,2.040861368,london,half,56.8,500
1716401284,yolov5s,6.jpg,0.19379282,1262.544632,1.488239765,london,half,56.8,500
1716401287,yolov5s,6.jpg,0.229902983,1949.913025,2.205145121,london,half,56.8,500
1716401288,yolov5s,6.jpg,0.184401274,1259.683132,1.476059198,london,half,56.8,500
1716401290,yolov5s,6.jpg,0.190797329,1789.993525,2.005643129,london,half,56.8,500
1716401292,yolov5s,6.jpg,0.180551529,1262.780905,1.471057892,london,half,56.8,500
